Unnamed: 0,Premise,Conclusion,Stance,XLNetLargePredictions,SBERTPredictions,BERTLargePredictions
346,"eu leaders continue their naive policy of hosting millions of migrants from muslim countries without taking into consideration the inability to integrate into society even after many generations,  and the fact that the muslim diaspora is controlled by their countries of origin, the most flagrant example is the interference of turkey and its dictator erdogan in the german elections calling the turkish diaspora to boycott this election since none of the candidates please him. .",we should stop hosting migrants from muslim countries.,in favour of,in favour of,in favour of,in favour of
347,homeschooling should not be banned because in some circumstances for example children living in remote locations it is the only way a child can receive an education.,homeschooling should be banned.,against,against,against,against
348,people using a homeopathic approach to treatment can accidentally end up overdosing on their herbal treatment and making themselves more sick.,homeopathy brings more harm than good.,in favour of,in favour of,in favour of,in favour of
349,foster care gives vulnerable kids a second chance at a stable home life.,foster care brings more harm than good.,against,against,against,in favour of
350,it is better for a child to be in a home where there is a family.,foster care brings more harm than good.,against,in favour of,in favour of,in favour of
351,"making holocaust denial a criminal offense will force deniers underground, and their activity will be hard to monitor.",holocaust denial should be a criminal offence.,against,against,in favour of,against
352,"europe must be a place that follows science, and following science nuclear power is an important tool in our fight against climate change.",we should promote the use of nuclear energy.,in favour of,in favour of,in favour of,in favour of
353,"homeopathy  creates the mindset that things such as vaccines can be replaced, which in turn can cause the death of others.",homeopathy brings more harm than good.,in favour of,in favour of,in favour of,in favour of
354,palestine has endangered the nation of israel and they should be punished.,blockade of the gaza strip should be ended.,against,in favour of,in favour of,in favour of
355,if we are talking about priests then nothing in the bible says holy men cannot take wives and have families and this a healthy thing for them.,the vow of celibacy should be abandoned.,in favour of,in favour of,against,against
356,homeschooling deprives children from scocialising and making friends.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
357,taking a life should be wrong regardless of the reason it is being done.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
358,we would have to change asylum rules. illegal immigrants will claim asylum after entering the country to attempt to make their entry legal. it then becomes a massive pain to deport them. illegal entries must result in an automatic rejection of asylum claims.,we should punish illegal immigrants and only accept legal immigrants.,in favour of,in favour of,in favour of,in favour of
359,social media is great because it can connect people across the globe. it was never before possible to have a live face to face conversation with someone than we can now with social media video apps.,social media brings more harm than good.,against,against,against,against
360,it is not fair for families especially poor ones to pay fees in the form of interest over the money that they have already earned.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
361,"hindi is spoken by more than half of india. as no single language is spoken by the entire of india, it is much better to make the majoritarian language the national language. .",hindi should be the national language of india.,in favour of,in favour of,in favour of,in favour of
362,assisted suicide should be a criminal offence because it would be very easy  to murder a vulnerable relative in order to get an inheritance.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
363,blockading the gaza strip is no longer useful and those doing it could better serve elsewhere.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
364,social media allows people to stay connected to each other despite physical distance.,social media brings more harm than good.,against,against,against,against
365,the use of public defenders should not be mandatory because a person should have the right to pay within their means any representative they wish.,the use of public defenders should be mandatory.,against,against,in favour of,against
366,payday loans allow people to spend money they do not have yet and then they have to pay interest on the loan.  this could cause them to need another loan to get through the next pay period.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
367,more people would learn useful skills and be able to support themselves.,we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
368,we should abandon the vow of celibacy because if people dont have sex they can get frustrated and might take it out on other people.,the vow of celibacy should be abandoned.,in favour of,in favour of,in favour of,in favour of
369,children have a right to education and ignorant parents that think they are more qualified than they are should not have tyranny over that right.,homeschooling should be banned.,in favour of,against,against,against
370,entrapment should be legalized because it gets a lot of the bad guys off the streets.,entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
371,assisted suicide helps those who are in pain due to a devastating disease end their own lives on their own terms.,assisted suicide should be a criminal offence.,against,against,against,against
372,"homeschooling is a good option for children who are bullied, giving them a safe place to learn.",homeschooling should be banned.,against,against,against,against
373,social media promotes bullying because it provides anonymity and releases the person bullying from blame.,social media brings more harm than good.,in favour of,in favour of,against,in favour of
374,vocational education should be subsidized because all students don't necessarily need a college education and rack up lots of debt in four year colleges.,we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
375,foreigners and immigrants must not be provided the same services and advantages as native people.,we should restrict immigration.,in favour of,in favour of,in favour of,in favour of
376,introducing items that normally produce symptoms of a disease is something that really could do more harm than good in the long run.,homeopathy brings more harm than good.,in favour of,in favour of,in favour of,against
377,"nuclear energy is not safe and it is not green because of radioactive waste. we have some conditions for sustainable green energy (at least solar, wind, biomethane etc.). .",we should promote the use of nuclear energy.,against,against,in favour of,against
378,"all the countries do not have very high security for their nuclear arms, apart from going into the wrong hands the system that controls them can also be hacked.",nuclear disarmament is necessary.,in favour of,in favour of,in favour of,against
379,the blockade of gaza causes economic and humanitarian suffering.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
380,foster care is the best option for children needing to not be with their own family.  they're far superior to a group home setting.,foster care brings more harm than good.,against,against,in favour of,against
381,homeopathic remedies are not medically tested and verified as safe.,homeopathy brings more harm than good.,in favour of,in favour of,in favour of,in favour of
382,"in order to alleviate the inhuman suffering in the initial reception camps on the eu's external border, all newly arrived or rescued emigrants must be forwarded as quickly as possible to the designated receiving countries. only there should the personal details and necessary data be determined and a possible asylum application process. this will not only relieve the initial reception camps significantly but also curb the already emerging aggressions of the local population living there.",we should revise the dublin convention due to ineffectiveness.,in favour of,in favour of,in favour of,in favour of
383,"the foster system provides incentives for parents to adopt when children are orphaned, such as free college tuition, financial assistance, and other tax benefits, which allows more children to be adopted.",foster care brings more harm than good.,against,against,against,against
384,"changes in management practices, and above all the integration of trees in arable and pastoral lands, are key, and could turn agriculture from a net emitter to a net absorber of greenhouse gases.",we should support agroforestry.,in favour of,in favour of,in favour of,in favour of
385,people are entitled to leisure time.,we should abandon television.,against,against,against,against
386,"if somebody wants to gain some qualification for some jobs, then they need to go to university to get it and not to be subsidize from government.",we should subsidize vocational education.,against,against,in favour of,against
387,payday loans provide a valuable service to those in need of emergency money.,payday loans should be banned.,against,against,against,against
388,the meager amount of compensation has been the prime reason why foster children receive inadequate care from their foster parents.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
389,washing machines without proper filters are a major source of microplastic.,we should prohibit the sale of washing machines without suitable filters.,in favour of,in favour of,in favour of,in favour of
390,making it a criminal offense would hold accountable those who deny our past horrors.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
391,the salaries of vocational school graduates are significantly less than those earned by college graduates with bachelors degrees. better to subsidize 4-year colleges than vocational schools.,we should subsidize vocational education.,against,against,in favour of,against
392,homeopathy doesn't have the same scientific backing as traditional medicine.,homeopathy brings more harm than good.,in favour of,in favour of,in favour of,in favour of
393,"social media is used to collect money for the needy, connect friends, and organize group events.",social media brings more harm than good.,against,against,against,against
394,this would be an opportunity for more europeans to integrate people with different backgrounds within the institutions. .,we should open free training centers for the epso competition.,in favour of,in favour of,in favour of,in favour of
395,the vow of celibacy is an outdated thinking.,the vow of celibacy should be abandoned.,in favour of,in favour of,in favour of,in favour of
396,television causes eye problems due to watching a screen.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
397,homeschooling is best for children where the schools in the area are not conducive to learning.,homeschooling should be banned.,against,against,against,against
398,"the vow of celibacy is necessary for those embracing a religious career, it helps them focusing on spiritual matters rather than physical needs.",the vow of celibacy should be abandoned.,against,against,against,against
399,once a child is placed in foster care there is a danger that he or she gets stuck in the system and is subjected to multiple changes in placements with consequent damage to the child's wellbeing.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
400,celibacy is a time honored tradition that allows priests to focus solely on their commitment to the church.,the vow of celibacy should be abandoned.,against,against,against,against
401,it is not the government's role to protect citizens from bad decisions.,payday loans should be banned.,against,in favour of,in favour of,in favour of
402,children born from surrogacy don't have the attachment to the non-birth mother that they would have with their birth mother.,surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
403,"subsidies should be given only if they lead to a general public good, and careers for a select few people who go to vocational schools do not qualify as a public good.",we should subsidize vocational education.,against,against,in favour of,against
404,the blockade helps to prevent continued military threats and rocket attacks.,blockade of the gaza strip should be ended.,against,against,against,against
405,assisted suicide should be an individual's choice and personal freedom.,assisted suicide should be a criminal offence.,against,against,against,against
406,the number of video surveillance and control and intervention rights for public authorities is steadily increasing (at least according to my subjective feeling). this puts our free way of life at risk. a person who feels monitored will never really act freely. .,we should prevent the surveillance state.,in favour of,in favour of,in favour of,in favour of
407,you can not tell a person how they should or should not believe and making holocaust denial a criminal offense is an unnecessary intrusion.,holocaust denial should be a criminal offence.,against,against,in favour of,against
408,the blockade of gaza undermines the popularity and economic power of hamas.,blockade of the gaza strip should be ended.,against,in favour of,in favour of,in favour of
409,vocational education caters to trades that will become obsolete in the future.,we should subsidize vocational education.,against,in favour of,in favour of,in favour of
410,assisted suicide is unethical how do we know that the person who is assisting the suicide hasnt got something to gain from the death of the other person.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
411,foster care puts already vulnerable kids in to the hands of those who might abuse them further.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
412,television is just another distraction in a long line of things keeping people down.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
413,"there is no guarantee that web 3.0 will not be controlled by big tech companies. earlier when the first version of the web came, people expected that it will guarantee free speech and no one can control it like they controlled traditional media such as newspapers and television. but, now web content is largely controlled by big corporations. so, web 3.0 may also turn into the same.",we should develop web 3.0.,against,against,in favour of,against
414,"to assist the suicide of a loved one is one of the most selfless acts one can do, bringing an end to the suffering of a terminally ill person.",assisted suicide should be a criminal offence.,against,against,against,against
415,i.q. tests provide genuine insight into an individual's capabilities.,intelligence tests bring more harm than good.,against,against,against,against
416,surrogacy is very important in helping couples who can't procreate have children.,surrogacy should be banned.,against,against,against,against
417,"people have the right to decline counsel, if they so choose.  public defenders are already overworked, which causes them to unintentionally do an incompetent job in their clients' defense.",the use of public defenders should be mandatory.,against,against,in favour of,in favour of
418,some people who believe in modifying the genes believe that it not only increases the span of life but also increases the quality of life.,human gene editing is a good thing.,in favour of,in favour of,in favour of,in favour of
419,children lack social skills when face to face with their peers because they haven't developed skills away from social media.,social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
420,it has been proven to work and is safer than traditional medicine and drugs.,homeopathy brings more harm than good.,against,against,in favour of,against
421,homeopathy is better than the alternative prescribed medications that have serious side effects.,homeopathy brings more harm than good.,against,against,in favour of,in favour of
422,"the use of public defenders should not be mandatory because the quality of defense will be lower than private defense, which will lead to more wrongful convictions.",the use of public defenders should be mandatory.,against,against,in favour of,against
423,not everyone is suited for a professional job and having a skill or craft may be more suitable.,we should subsidize vocational education.,in favour of,against,in favour of,in favour of
424,the vow of celibacy is too important to do away with.  it shows that there is nothing more important than the church and is a true goal worth striving for.,the vow of celibacy should be abandoned.,against,against,against,in favour of
425,6 million people died so to deny the holocaust should be a crime against their memory.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
426,the only ones who benefit from people having several citizenships in different eu countries are the governments because they collect money for issuing passports.,we should introduce a european citizenship.,in favour of,against,in favour of,in favour of
427,"it may be great to admit a few talented immigrants, but the eu is now following its steep nose dive leading to the rapid disappearance of europe.",we should improve migration policies .,against,against,in favour of,in favour of
428,vocational education has merits. it provides skill to youth who have left school and reintroduced them in the economic field.,we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
429,television is a major reason that childhood obesity exists today.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
430,bees and pollination are essential for the sexual reproduction of plants and are an important factor in biodiversity.,we should preserve bees and polling insects.,in favour of,in favour of,in favour of,in favour of
431,intelligence test provide metrics which cannot be accessed otherwise.,intelligence tests bring more harm than good.,against,in favour of,against,against
432,people have the right to their bodies and if they wish to die they should be able to get help to do so.,assisted suicide should be a criminal offence.,against,against,against,against
433,television contributes to the obesity epidemic because people spend far too much time inside in front of  the tv being inactive.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
434,television encourages people to be lazy and as a consequence they put on weight.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
435,the use of intelligence tests allows the identification of children who need extra help with their education.,intelligence tests bring more harm than good.,against,against,against,against
436,it is preferable to legalize entrapment and allow for random tests of civilians obeying the law than to have over-policing and community monitoring which uses more resources and causes more tension with the community.,entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
437,"we should abandon television as most of the things that are aired are garbage and as we know, garbage in, garbage out.",we should abandon television.,in favour of,in favour of,in favour of,in favour of
438,keeping moral strength is important to society and refraining from sex is one way to do it.,the vow of celibacy should be abandoned.,against,against,against,against
439,social media is time consuming and we can spend our time doing something more productive.,social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
440,"blockade of the gaza strip should be ended because the conflicts need to be finished, a resolution should be found and people should be able to get back on track with life.",blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
441,"this is genuinely the most humane proposal. if europeans are 'privileged' we should use that to help foreign nations. instead, our elites do the opposite, instigate problems in other nations (syria, libya, etc.), and then indigenous europeans get replaced in our own homelands because we're 'privileged'.",we should stop integration.,in favour of,against,in favour of,against
442,"holocaust denial should be a criminal offence so that it is possible for liberal democratic societies to crack down on fascism early, rather than let it grow like a weed.",holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
443,"intelligence tests are unscientific and only give a narrow, limited view of ones skills and abilities.",intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
444,many of the careers offered at vocational schools provide  essential services to the community.,we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
445,"free speech is the right of any person who lives in a democracy, to dictate what one can believe or deny such as the holocaust is an infringement of civil liberties.",holocaust denial should be a criminal offence.,against,against,in favour of,in favour of
446,"we should subsidize our vocational education so that the workforce is stronger, more educated in their specific field, and more jobs are filled which boosts the economy.",we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
447,the vow of celibacy has been shown to be more of a distraction than actually allowing marriage.  this vow should be removed to improve the clergy.,the vow of celibacy should be abandoned.,in favour of,in favour of,in favour of,in favour of
448,they can be useful in emergency situations.,payday loans should be banned.,against,against,against,against
449,the blockade of the gaza strip  should not be ended as there is still no end to the violence in the region.,blockade of the gaza strip should be ended.,against,against,in favour of,against
450,social media brings more harm than good because it causes people to judge themselves too harshly in comparison of the seemingly perfect lives of others online.,social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
451,israel have the right to protect itself and this blockade will make them check everything going in and out gaza.,blockade of the gaza strip should be ended.,against,against,against,in favour of
452,intelligence tests create a discourse about different forms of education and how they can be measured.,intelligence tests bring more harm than good.,against,against,against,in favour of
453,television isn't something that needs to be abused. we can watch it and still find time for exercising and a social life.,we should abandon television.,against,against,against,against
454,unauthorized asylum seekers or migrants have no right to be in the country where they are unauthorized.,we should remove unauthorized asylum seekers or migrants.,in favour of,in favour of,in favour of,in favour of
455,payday loans should be banned because a lot of times it causes people to get more into debt than they already are.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
456,homeschooling deprived children off a proper education and is isolating and should be banned.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
457,we should abandon television because it is a waste of time. people could get so much more done without it.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
458,"women are selling their bodies, and oftentimes, surrogates have a hard time giving up their child.",surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
459,"we should tax items based on the sustainability goals of the united nations. they are internationally recognized & very precise. as far as i know, all or most countries have agreed on these goals. the financial sector is starting to implement them and there are already internationally recognized lists which specify the details.",we should make zero/low waste products more affordable.,in favour of,in favour of,in favour of,in favour of
460,"celibacy is not a natural state for a human person, and therefore should not be forced on anyone. however, if a person wishes to take a vow of celibacy without being pressured into it, that is acceptable.",the vow of celibacy should be abandoned.,against,in favour of,in favour of,against
461,children should be allowed to stay with their parents foster care takes them away.,foster care brings more harm than good.,in favour of,in favour of,against,in favour of
462,"since the blockade began, it has failed to decrease hamas activity or violence against israel in any meaningful way, failing at its main objective.",blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
463,"intelligence tests bring more good than harm because they equalize students from rich and poor backgrounds, since money cannot buy intelligence.",intelligence tests bring more harm than good.,against,against,against,in favour of
464,homeopathy is sometimes used by people instead of traditional medicine. this  could lead to unnecessary deaths.,homeopathy brings more harm than good.,in favour of,in favour of,in favour of,in favour of
465,subsidizing vocational education gives it unfair advantage over alternative career paths.,we should subsidize vocational education.,against,against,in favour of,against
466,social media fosters unaccountable hate speech and animosity towards others.,social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
467,"homeschooling is a better way to help talented kids get an in-depth knowledge of  the subject they are really good at,.",homeschooling should be banned.,against,against,against,against
468,"payday loans take advantage of people in desperate financial situations, who aren't educated on finances, and often end up in a worse position because of the loan.",payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
469,people have a right to say and believe whatever they want. you can't criminalize people's thoughts.,holocaust denial should be a criminal offence.,against,against,against,against
470,vocational education usually leads to highly paid jobs. therefore the state should not be funding this.,we should subsidize vocational education.,against,against,in favour of,against
471,public defenders are important to upholding our individual rights.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
472,subsidizing vocational education will lead to it becoming as esoteric and non-productive as liberal arts education.,we should subsidize vocational education.,against,against,in favour of,against
473,too much of peoples time is spent watching television.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
474,"refugees are here to seek protection and rapid repatriation when it is no longer necessary is a matter of course. when it comes to crimes, people are simply no longer worthy of protection and cannot be expelled because their actions show us that they neither accept nor respect our rules.",we should remove unauthorized asylum seekers and migrants.,in favour of,against,against,in favour of
475,"the blockade of the gaza strip is a humanitarian crisis, with severe economic impacts.",blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
476,gaza strip blockade has helped its nation stay away from war and rebellion by this blockade.,blockade of the gaza strip should be ended.,against,against,against,in favour of
477,there are already plenty of unwanted children in the world and people should be encouraged to adopt instead.,surrogacy should be banned.,in favour of,against,in favour of,in favour of
478,"if people are undertaking criminal activities, then entrapment should be allowed so that these criminals can be caught and taken off the streets. it is their choice if they fall for the trap.",entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
479,assisted suicide should be a criminal offence because it could force some doctors to perform this act without their consent.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
480,suicide is never the answer and it is wrong.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
481,"to create value directly in the rural areas, is very important.",we should support local associations for the recovery of bio-waste.,in favour of,in favour of,in favour of,in favour of
482,"saving a child life and giving the options in their life, bringing the safe and prosper future to the kid and making him as a valued citizen.",foster care brings more harm than good.,against,against,against,against
483,social media brings together people all over the world with ease.,social media brings more harm than good.,against,against,against,against
484,there is no proof that  homeopathy works.,homeopathy brings more harm than good.,in favour of,in favour of,in favour of,in favour of
485,pregnancy places a huge strain on the body and surrogacy encourages poorer women to do this for money.,surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
486,"holocaust denial should be a criminal offence because it encourages discrimination, abuse and violence against jews.",holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
487,social media is addictive to young people to the point where it affects their education because they are distracted from their studies.,social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
488,social media allows people to connect with others.,social media brings more harm than good.,against,against,against,against
489,fireworks are an especially selfish source of entertainment.,we should limit the use of fireworks.,in favour of,in favour of,in favour of,in favour of
490,we should subsidize vocational education because our ecomics in countries is higih.,we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
491,"the branding of a child by intelligence tests at an early age can cause grave damage, all for no proven education benefit.",intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
492,"the foster care process might be challenging, but creating smiles and offering a stable home for children in need certainly, outweigh all concerns.",foster care brings more harm than good.,against,against,in favour of,in favour of
493,homeschooling is better that state education providing one-to-one learning opportunities they benefit children.,homeschooling should be banned.,against,against,against,against
494,assisted suicides can end the pain of those who are suffering from terminal illnesses.,assisted suicide should be a criminal offence.,against,against,against,against
495,assisted suicide is a criminal offense and is a form of assisted murder.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
496,blockage of the gaza strip should not be ended because it stops some evil people from crossing.,blockade of the gaza strip should be ended.,against,against,in favour of,against
497,the vow of celibacy puts undue pressure on priests to have a lifestyle that is unnatural and has been linked to child abuse cases because of their frustration.,the vow of celibacy should be abandoned.,in favour of,in favour of,in favour of,in favour of
498,we must continue to apply pressure to achieve the objectives that will be the best for both peoples.,blockade of the gaza strip should be ended.,against,against,against,in favour of
499,social media allows children to gang up on other children and can lead to mental problems.,social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
500,they have high interest and short repayment dates and people may find themselves even in greater debt.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
501,making the use of public defenders mandatory is an unfair obligation placed on a state.,the use of public defenders should be mandatory.,against,against,in favour of,against
502,it's a fact that it happened and anyone who believes otherwise should be locked up.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
503,"i think that people should grow, learn and move into better-paid jobs. today there are fantastic opportunities, e.g. artificial general intelligence is being built, and human anti-aging and even rejuvenation therapies are being developed: these are only a few areas where the most pressing need of humanity is being met. people should move into such jobs. for the manual work - there are robots coming. we should not try to distort market forces and stop development.",we should increase the salaries of artisans.,against,in favour of,in favour of,in favour of
504,assisted suicide should be a criminal offence because it does not allow a person to die a natural death.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
505,"television is a medium that no longer provides anything but mind-numbing ""entertainment"".",we should abandon television.,in favour of,in favour of,in favour of,in favour of
506,"the fruit and vegetable sector is able to produce a large quantity of waste products which, if well reused, could be used for animal feed.",we should use the waste from the agri-food industry in the ruminant feed chain.,in favour of,in favour of,in favour of,in favour of
507,"the middle class benefited tremendously from consumerism. increased job opportunities, wages, and cheaper goods helped raise their living standards tremendously. the new world order gave them hope that even they could have luxuries like the elite. through business, they could climb up the social ladder.",consumerism brings more harm than good.,against,against,in favour of,against
508,"all people have the same right to be here. nobody is unjustified. refugees/migrants are not to be expelled, certainly not immediately, but to be included in the employment problems and economic situation.",we should remove unauthorized asylum seekers and migrants.,against,against,against,against
509,having a child that is genetically connected to you is very important to many people.,surrogacy should be banned.,against,against,against,against
510,the vow of celibacy should not be abandoned because that is part of some religions.,the vow of celibacy should be abandoned.,against,against,against,against
511,none of the products have been tested and some actually have very harmful effects.,homeopathy brings more harm than good.,in favour of,in favour of,in favour of,in favour of
512,social media enables people to contact others when they're a long distance away and other means are unsuitable.,social media brings more harm than good.,against,against,against,against
513,the blockade makes smuggling more profitable which is often linked to terrorist groups and is used to fund terrorist organizations.,blockade of the gaza strip should be ended.,in favour of,in favour of,against,in favour of
514,"it doesn't because it gives a child a chance at having a normal life with role models, instead of just staying in an institution.",foster care brings more harm than good.,against,against,in favour of,against
515,the use of public defenders should be mandatory so that both parties have access to state resources in criminal trials.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
516,we have the right to make our own medical decisions and should be allowed to end our own lives if we are terminally ill.,assisted suicide should be a criminal offence.,against,against,in favour of,against
517,public defenders should be available to everyone and mandatory to use. they conform more to the laws in place and are impartial in the criminal procedures.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
518,many of the problems with payday loans would be eliminated if there was increased oversight to enforce regulations and proper business practices that are already codified.,payday loans should be banned.,against,in favour of,in favour of,against
519,this ensures the accused or defendees get the best legal advice for a fair trial.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
520, mass migration is a crime against humanity and has to stop!.,we should strengthen frontex and control immigration.,in favour of,in favour of,in favour of,in favour of
521,homeschooling is necessary in remote areas where there aren't enough children to sustain a school.,homeschooling should be banned.,against,against,against,against
522,children in foster care grow up in loving families that want children.,foster care brings more harm than good.,against,against,against,against
523,"things that are one-time use only, like most packaging and the like, should be radically focused on recycling potential.",we should not produce unnecessary garbage.,in favour of,in favour of,in favour of,in favour of
524,assisted suicide should be a criminal offence because is aginst the life of person.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
525,homeschooling makes it difficult for children to socially intereact with their peers.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
526,intelligence tests can help specify a persons abilities allowing them to develop their skill and knowledge of a specific capability.,intelligence tests bring more harm than good.,against,against,against,against
527,"people should have the right to decide how and when they want to die, particularly if they are suffering from a terminal illness.",assisted suicide should be a criminal offence.,against,against,against,against
528,sometimes these tests help identify people's strengths.,intelligence tests bring more harm than good.,against,against,against,against
529,the blockade of the gaza strip is necessary for the safety of the israeli people.,blockade of the gaza strip should be ended.,against,against,against,against
530,the blockade of the gaza strip only serves to harm innocents who happen to live in the area.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
531,the blockade is there to protect the citizens and prevent more violence.,blockade of the gaza strip should be ended.,against,against,against,in favour of
532,payday loans create a more impoverished society with their crazy payback rates.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
533,"the money from this could be allocated to pan-european projects, new citizen services, etc, tangible and prestigious results that may prompt others to join in.",we should increase the eu budget by including more direct contributions.,in favour of,in favour of,in favour of,against
534,surrogacy should not be banned as it provides a wonderful alternative for people to become parents when they are not able to have children through the natural process.,surrogacy should be banned.,against,against,against,against
535,"without proper background checks and lack of social service visitations, children are vulnerable to foster families that do not care about the welfare of the child but rather the monetary compensation.",foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
536,"this is really crucial in order to stop warming, locally, eventually regionally or nationally, and globally. the more intact ecosystems we have, the more likely we can stop global warming.",we should protect 20% of land in each european country to restore biodiversity.,in favour of,in favour of,in favour of,in favour of
537,intelligence tests could label a child as unintelligent when they are not fully developed and so stunt their intellectual growth by placing them in lower levels.,intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
538,"payday loans are predatory, preying on those in debt and with a low credit score, those who are below the poverty level and are desperate to supply basic necessities.",payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
539,"holocaust denial is a is a form of free speech, and is thus protected by the first amendment.",holocaust denial should be a criminal offence.,against,against,against,against
540,the vow of celibacy should be promoted as it brings the sense of self control and purity to a person's soul.,the vow of celibacy should be abandoned.,against,against,against,against
541,many countries have the view that unauthorized asylum seekers should be removed.,we should remove unauthorized asylum seekers or migrants.,in favour of,in favour of,in favour of,in favour of
542,homeschooling deprives the child of learning social behaviors and norms.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
543,payday loans gives people who apparently not able to live paycheck by paycheck an unethically high interest-rated loan and ends up getting them in deeper debt and payday loans should be banned.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
544,foster care is open to children who have been lacking love from their parents. they are nurtured and given love by people who have a lot to offer.,foster care brings more harm than good.,against,against,against,against
545,"some women, through no fault of their own, are incapable of being biological mothers - surrogacy gives them the chance of such an incredible experience.",surrogacy should be banned.,against,against,in favour of,against
546,"assisted suicide should not be a criminal defense because in some cases, like people who have terminal cancer, you are doing them a mercy and saving them from suffering.",assisted suicide should be a criminal offence.,against,against,in favour of,against
547,energy is a human right and free energy production is a human right as well.,"wind and solar energy resources are a commodity, provided by big companies.",against,against,in favour of,in favour of
548,no need to abandon the vow of celibacy because it tests the faith and devotion of the priest to god. those that are truly good and spiritual don't need have sexual relations when in a relationship with god.,the vow of celibacy should be abandoned.,against,against,against,against
549,"the holy scriptures say many things that are not accepted by the traditions of the church, so that the man who wants to remain holy must be celibate.",the vow of celibacy should be abandoned.,against,against,in favour of,against
550,there is no reliable scientific evidence that homeopathy does any good and it is potentially dangerous because it may delay people taking conventional medical treatment.,homeopathy brings more harm than good.,in favour of,in favour of,in favour of,in favour of
